epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.10097,2.69307,13.3382,1.17048,0,0,0,0,2.43349,6.85282,1.12473,0.00025,0.00025,0.00025
2,5.74131,2.53955,9.80647,1.18758,0,0,0,0,2.56547,6.64827,1.37124,0.000510471,0.000510471,0.000510471
3,8.37784,2.48634,10.5295,1.08546,0,0,0,0,2.66752,7.10736,1.30936,0.000768862,0.000768862,0.000768862
4,10.9882,2.59882,8.69988,1.22941,0.00098,0.07143,0.04964,0.01325,2.66736,6.56598,1.24279,0.00102517,0.00102517,0.00102517
5,13.8145,2.38224,8.08563,1.13907,0.00353,0.45029,0.20231,0.07324,2.51537,5.90352,1.23002,0.0012302,0.0012302,0.0012302
6,16.4197,2.57298,7.82909,1.20185,0.95447,0.04051,0.21664,0.0803,2.54754,5.00146,1.23567,0.00122525,0.00122525,0.00122525
7,19.0069,2.41927,7.57601,1.13052,0.7987,0.20395,0.22552,0.08683,2.62906,3.41852,1.35326,0.0012203,0.0012203,0.0012203
8,21.6235,2.62465,6.93248,1.18621,0.84473,0.24752,0.32155,0.12678,2.35086,2.44806,1.19304,0.00121535,0.00121535,0.00121535
9,24.2096,2.4872,6.00235,1.16082,0.83417,0.35855,0.3872,0.17645,2.24405,2.28953,1.28782,0.0012104,0.0012104,0.0012104
10,26.8225,2.45477,5.21899,1.23903,0.56501,0.2713,0.30137,0.09791,2.54809,2.52549,1.26804,0.00120545,0.00120545,0.00120545
11,29.3984,2.48074,5.27887,1.14083,0.86197,0.29229,0.31967,0.11799,2.37494,2.39247,1.22703,0.0012005,0.0012005,0.0012005
12,31.9979,2.38261,4.60198,1.26048,0.67267,0.29862,0.33177,0.09218,2.57224,2.31358,1.39169,0.00119555,0.00119555,0.00119555
13,34.5828,2.38656,4.31928,1.16366,0.60404,0.40936,0.41519,0.14732,2.49834,2.075,1.25121,0.0011906,0.0011906,0.0011906
14,37.1652,2.38225,4.00759,1.07817,0.58621,0.39004,0.3606,0.10997,2.45503,2.32637,1.2562,0.00118565,0.00118565,0.00118565
